legend,step,pwr,,76.1077233333334
Minimum,1026,74.85,,
Minimum,1027,74.63,,
Minimum,1028,75.09,,
Minimum,1029,76.53,,
Minimum,1030,74.32,,
Minimum,1031,75.07,,
Minimum,1032,75.46,,
Minimum,1033,75.69,,
Minimum,1034,75.19,,
Minimum,1035,76.69,,
Minimum,1036,76.53,,
Minimum,1037,76.45,,
Minimum,1038,76.03,,
Minimum,1039,77.1,,
Minimum,1040,76.52,,
Minimum,1041,76.37,,
Minimum,1042,77.21,,
Minimum,1043,77.49,,
Minimum,1044,76.37,,
Minimum,1045,78.63,,
Minimum,1046,77.09,,
Minimum,1047,76.94,,
Minimum,1048,76.13,,
Minimum,1049,76.19,,
Minimum,1050,76.48,,
Minimum,1051,76.45,,
Minimum,1052,76.11,,
Minimum,1053,75.83,,
Minimum,1054,75.85,,
Minimum,1055,76.41,,
Minimum,1056,75.62,,
Minimum,1057,75.28,,
Minimum,1058,74.86,,
Minimum,1059,75.81,,
Minimum,1060,76.49,,
Minimum,1061,75.36,,
Minimum,1062,75.15,,
Minimum,1063,74.89,,
Minimum,1064,75.72,,
